LACT,ai1_DIM,outcome1AI,tmsbred,pregnancy_DIM,ABORT,INDGST,INJURY,KETOSIS,lame,LDA,MAST,MET,MFEVER,PYO,PNEU,rtp,calvBCS,milkavg30,milkavg60,milkavg100,nadirDIM,nadirBCS,disease_events,milkmonth1,milkmonth2,milkmonth3,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
3,88,1,2,88.0,1.0,0,0,0,0,0,0,0,0,0,0,0,3.4,75.55,93.15,98.14,19,2.7,0,75.547,110.761,111.348,3.4,3.4,3.4,3.4,3.4,3.4,3.2,3.2,3.1,3.1,3.0,3.0,3.0,2.9,2.8,2.8,2.8,2.8,2.8,2.7,2.8,2.8,2.8,2.8,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.9,,,,,,,,,2.8,2.9,2.9,2.9,2.9,2.9,3.0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
1,80,1,1,80.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.45,75.88,83.93,91.8,76,2.8,0,75.878,92.535,104.831,,3.1,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.8,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.7,2.7,2.7,2.7,2.7,2.6,3.1,3.05,3.0,3.0,3.05,3.05,3.0,3.0,2.95,2.7,2.85,2.85,2.85,2.85,2.9000000000000004,2.9000000000000004,2.9000000000000004,2.9000000000000004,2.9,2.9,2.95,2.9,2.9,2.9,3.0,3.0,3.0,3.0,3.0,3.0,3.1,3.1,3.0,3.0,3.05,3.05,3.0,2.95,3.0,3.0,2.95,2.9,2.9,2.9,2.8499999999999996,2.8499999999999996,2.9,2.9,2.9,2.9,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.9,2.9,2.95,2.95,2.95,2.95,2.95,2.95,2.95
2,60,0,4,160.0,0.0,0,0,0,0,0,1,0,0,0,0,0,3.35,86.75,88.61,98.34,65,2.7,0,86.746,95.787,109.137,,3.3,3.4,3.3,3.3,3.2,3.2,3.2,3.2,3.3,3.3,3.2,3.2,3.2,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,,
1,80,1,1,80.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.5,48.71,54.5,60.24,99,3.4,0,48.712,60.694,69.263,3.5,3.55,3.55,3.55,3.6,3.6,3.6,3.55,3.55,3.55,3.55,3.55,3.5,3.5,3.45,3.5,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.4,3.45,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.4,3.4,3.4000000000000004,3.45,3.45,3.45,3.45,3.5,3.5,3.5,3.45,3.45,3.3,3.3,3.3,3.3,3.3,3.3,3.5,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.5,3.5,3.5,3.5,3.5,3.3,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.5,3.5,3.5,3.5,3.55,3.55,3.55,3.55,3.55,3.4,3.4
1,108,1,2,108.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.67,45.05,57.21,61.82,46,3.4,0,45.051,69.367,70.035,3.5,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.4,3.4,3.4,3.3499999999999996,3.4,3.45,3.4,3.4,3.4,3.4,3.3499999999999996,3.45,3.4,3.4,3.3499999999999996,3.3499999999999996,3.3499999999999996,3.3499999999999996,3.4,3.4,3.4,3.45,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.6,3.45,3.4,3.3499999999999996,3.4,3.4,3.3499999999999996,3.3,3.3,3.3499999999999996,3.4,3.4,3.4,3.45,3.45,3.45,3.4,3.45,3.45,3.45,3.45,3.45,3.45,3.5,3.45,3.45,3.45,3.5,3.45,3.5,3.5,3.5,3.55,3.5,3.5,3.45,3.45,3.5,3.5,3.45,3.45,3.4,3.4,3.4,3.45,3.45,3.45,3.5,3.5,3.5,3.5,3.5,3.5,3.45,3.5,3.5,3.5,3.5,3.5,3.45,3.5
1,110,0,4,173.0,0.0,0,0,0,1,0,0,0,0,1,0,0,3.2,72.85,80.22,82.72,1,3.1,0,72.846,82.062,83.178,,3.1,3.3,3.3,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.4,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.3,3.3,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.3,3.3,3.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
1,80,0,4,177.0,1.0,0,0,0,0,0,0,0,0,0,0,0,3.47,58.02,65.42,73.09,18,3.2,0,58.015,73.074,84.105,3.5,3.5,3.4,3.45,3.45,3.45,3.45,3.45,3.4,3.4,3.4,3.4,3.4,3.3499999999999996,3.3499999999999996,3.3,3.3,3.3,3.25,3.25,3.25,3.25,3.25,3.25,3.3,3.3,3.25,3.25,3.25,3.25,3.25,3.2,3.2,3.2,3.2,3.25,3.25,3.2,3.25,3.25,3.25,3.25,3.25,3.2,3.25,3.3,3.25,3.25,3.25,3.25,3.25,3.3,3.3,3.25,3.3,3.3,3.25,3.2,3.2,3.2,3.2,3.2,3.15,3.2,3.2,3.2,3.15,3.15,3.2,3.25,3.25,3.25,3.25,3.25,3.25,3.2,3.2,3.2,3.2,3.2,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.0999999999999996,3.15,3.15,3.0999999999999996,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15
2,60,1,1,60.0,0.0,0,1,0,0,0,0,0,0,0,0,0,3.3,89.69,97.4,104.23,56,2.8,1,89.687,113.418,116.823,,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.0,3.0,2.9,2.9,3.0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.8,2.9,2.8,2.8,2.9,2.8,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.8,2.8,2.9
1,80,1,1,80.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.47,61.46,68.53,71.94,77,2.9,0,61.457,76.653,78.195,3.6,3.5,3.3,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.281466,3.289943,3.268317,3.229163,3.220457,3.226921,3.195404,3.170085,3.171341,3.143707,3.160646,3.166818,3.198303,3.179807,3.179239,3.193582,3.2,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.247018,3.248632,3.297536,3.219664,3.214474,3.21053,3.188612,3.153816,3.130405,3.141061,3.112988,3.13395,3.174378,3.140155,3.148419,3.166473,3.2,3.2,3.2,3.3,3.2,3.1,3.2,3.2,3.2,3.0,3.0,3.0,3.0,3.0,2.9,3.0,3.1,3.2,3.1,3.1,3.0,3.0,3.0,3.0,3.0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.0,3.0,3.0,3.1
1,116,1,2,116.0,0.0,0,0,0,1,0,0,0,0,0,0,0,3.6,66.89,77.96,81.58,20,2.9,0,66.885,89.024,86.08,3.35,3.35,3.4000000000000004,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.4,3.45,3.5,3.4,3.3,3.3,3.2,3.2,3.2,3.0,2.9,3.05,3.1,3.1500000000000004,3.1500000000000004,3.25,3.25,3.2,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.3,3.25,3.25,3.25,3.25,3.25,3.25,3.2,3.2,3.2,3.2,3.25,3.2,3.2,3.25,3.25,3.25,3.25,3.25,3.25,3.2,3.2,3.25,3.25,3.25,3.25,3.2,3.25,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.25,3.25,3.25,3.25,3.2,3.25,3.25,3.25,3.25,3.25,3.3,3.3,3.3,3.3,3.3,3.3,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.3,3.3,3.3,3.3,3.3,3.3,3.3
