LACT,ai1_DIM,outcome1AI,tmsbred,pregnancy_DIM,ABORT,INDGST,INJURY,KETOSIS,lame,LDA,MAST,MET,MFEVER,PYO,PNEU,rtp,calvBCS,milkavg30,milkavg60,milkavg100,nadirDIM,nadirBCS,disease_events,milkmonth1,milkmonth2,milkmonth3,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
3,60,0,4,143.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.7,90.8,102.86,105.68,99,3.1,0,90.802,114.919,112.745,,3.7,3.6500000000000004,3.7,3.7,3.7,3.7,3.7,3.7,3.6500000000000004,3.7,3.7,3.6500000000000004,3.6,3.55,3.55,3.55,3.55,3.55,3.55,3.5,3.45,3.5,3.5,3.5,3.5,3.5,3.5,3.6,3.6,3.4,3.4,3.4,3.3,3.3,3.4,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.5,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.3,3.3,3.3,3.4,3.3,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,,3.3,3.3,3.1,3.3
3,70,0,5,171.0,0.0,1,0,0,1,0,0,0,0,0,0,0,3.4,89.93,107.59,116.04,72,2.9,1,89.926,125.847,130.406,3.55,3.65,3.7,3.65,3.5999999999999996,3.5999999999999996,3.65,3.65,3.65,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.2,3.25,3.25,3.25,3.25,3.2,3.2,3.2,3.2,3.2,3.15,3.15,3.15,3.05,3.0,3.0,2.95,2.95,3.0,3.0,3.0,2.95,2.95,2.95,3.0,3.05,3.0,2.95,3.05,3.0,3.0,3.0,3.05,2.95,2.95,3.002866,2.9940555,3.101591,2.9978445000000002,3.003591,3.0044575,3.0122065
1,103,1,2,103.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.65,82.58,89.38,90.97,25,3.3,0,82.583,96.17,94.386,,3.8,3.5,3.6,3.7,3.7,3.7,3.7,3.7,3.6,3.7,3.7,3.6,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.4,3.5,3.5,3.4,3.3,3.3,3.3,3.3,3.4,3.3,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.473997,3.467803,3.453081,3.451098,3.452182,3.459238,3.456724,3.447935,3.444766,3.472996,3.47669,3.454046,3.455403,3.446364,3.411682,3.401197,3.4,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.4,3.4,3.331663,3.327893,3.356995,3.312155,3.332802,3.377088,3.348682
3,63,0,3,123.0,0.0,0,0,0,0,0,0,0,0,1,1,1,3.2,86.72,68.85,75.57,45,2.7,2,86.718,50.983,87.362,,3.3,3.1,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,2.9,2.9,2.9,3.0,3.0,2.9,2.9,2.9,3.0,3.0,2.9,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.9,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.1,3.2,3.2,3.2,3.1,3.2,3.4,3.3,3.2,3.2,3.2,3.3,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0
3,90,0,3,164.0,0.0,0,0,1,1,0,0,0,0,1,0,0,3.17,82.21,96.96,106.14,80,2.65,2,82.212,112.188,122.509,2.9000000000000004,2.95,3.0,2.95,2.95,2.95,2.95,2.9000000000000004,2.9000000000000004,2.9000000000000004,2.85,2.9000000000000004,2.9000000000000004,2.85,2.85,2.8,2.75,2.75,2.75,2.75,2.75,2.7,2.75,2.7,2.7,2.7,2.7,2.65,2.65,2.65,2.5999999999999996,2.55,2.55,2.5999999999999996,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5999999999999996,2.5999999999999996,2.5999999999999996,2.5999999999999996,2.5999999999999996,2.5888355,2.5940035,2.5794065,2.5929205,2.5535315,2.5870175,2.586806,2.590162,2.6419465,2.6273210000000002,2.6773154999999997,2.672361,2.7098205,2.7187580000000002,2.7035470000000004,2.707008,2.6500000000000004,2.6500000000000004,2.65,2.6,2.6500000000000004,2.6,2.7,2.65,2.7,2.6500000000000004,2.7,2.7,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.7152884999999998,2.707195,2.693646,2.673431,2.6844995000000003,2.7553384999999997,2.7309855,2.791743,2.809218,2.835026,2.873387,2.899828,2.891441,2.859301,2.839009,2.825873,2.8,2.8,2.7,2.7,2.7,2.7,2.8,2.8
3,60,0,4,161.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.3,83.1,101.51,107.69,28,2.7,0,83.103,119.925,119.511,2.8,3.4,3.3499999999999996,3.3499999999999996,3.3,3.3,3.3,3.3,3.3,3.3,3.25,3.25,3.2,3.2,3.2,3.1500000000000004,3.1,3.05,3.05,3.0,3.0,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.75,2.7,2.7,2.7,2.7,2.75,2.7,2.75,2.8,2.7,2.7,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.6500000000000004,2.7,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.7,2.7,2.75,2.75,2.7,2.75,2.8,2.8,2.7,2.5999999999999996,2.65,2.65,2.6,2.65,2.6,2.6,2.65,2.7,2.65,2.9,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.9,2.9,2.9,2.9,2.9,3.0,2.9,2.9,3.0,3.1,3.1,3.2,3.2,3.2,3.3,3.3,3.3
3,60,0,7,259.0,0.0,0,0,0,0,0,0,1,0,1,0,0,3.1,78.23,98.41,108.74,37,2.7,1,78.227,112.375,122.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.2,3.2,3.2,3.2,,,,,,,,,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.9,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.7,2.7,2.8,2.8,2.8,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.9,3.1,3.1,3.1,3.0
3,60,1,1,60.0,0.0,0,0,0,0,0,1,0,0,0,0,0,3.23,81.77,92.83,99.44,12,2.3,1,81.766,104.256,111.77,3.3,3.2,3.1,3.1,3.1,3.1,3.1500000000000004,3.1,3.1,3.05,3.0,3.0,2.65,2.5999999999999996,2.5999999999999996,2.7,2.95,2.95,2.95,2.9,2.9,2.9,2.9,2.9,2.9,2.8499999999999996,2.8,2.8,2.75,2.75,2.8,2.7,2.75,2.7,2.75,2.65,2.65,2.65,2.6,2.6,2.6,2.6,2.7,2.65,2.65,2.7,2.65,2.7,2.7,2.6,2.65,2.6500000000000004,2.7,2.7,2.75,2.6500000000000004,2.7,2.7,2.7,2.6500000000000004,2.65,2.7,2.6500000000000004,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.6,2.6,2.6,2.5,2.6,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.6,2.584592,2.608049,2.618901,2.570518,2.558646,2.571673,2.525267,2.481285,2.5221739999999997,2.5428825,2.5222854999999997,2.5331840000000003,2.5751125,2.6053284999999997,2.583343
2,60,1,1,60.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.45,71.08,79.24,86.67,24,3.2,0,71.076,94.2,93.192,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.4,3.5,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.6,,,,,,
2,85,1,2,85.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3.03,83.12,98.47,101.71,20,2.6,0,83.122,114.328,108.794,3.1,3.0,3.0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,,,2.8,2.8,2.8
